stock_id,Date,Open,High,Low,Close,Volume
8,01/08/2024 16:00:00,62.93,64.67,61.76,62.49,3720573
8,02/08/2024 16:00:00,62.1,62.53,60.84,61.36,3523003
8,05/08/2024 16:00:00,58.7,60.46,58.7,59.86,4044235
8,06/08/2024 16:00:00,60.06,62.25,60.06,60.96,4319057
8,07/08/2024 16:00:00,61.61,63.2,61.06,61.15,3187791
8,08/08/2024 16:00:00,62.2,63.23,61.6,63.04,3283542
8,09/08/2024 16:00:00,62.3,63.66,62.3,63.39,1980836
8,12/08/2024 16:00:00,63.1,63.9,62.71,63.31,2331712
8,13/08/2024 16:00:00,63.86,65.1,63.55,64.8,2639571
8,14/08/2024 16:00:00,64.87,66.36,64.87,66.17,4014344
8,15/08/2024 16:00:00,66.85,67.32,65.98,66.32,3210173
8,16/08/2024 16:00:00,66.94,68.02,66.54,67.41,3511014
8,19/08/2024 16:00:00,67.41,68.88,67.29,68.85,3016227
8,20/08/2024 16:00:00,68.89,71.13,68.82,69.85,4813118
8,21/08/2024 16:00:00,69.7,70.1,69.14,69.71,2235343
8,22/08/2024 16:00:00,69.1,70.15,68.62,68.9,2729389
8,23/08/2024 16:00:00,69.41,69.61,67.86,68.67,2354450
8,26/08/2024 16:00:00,68.73,69.06,68.16,68.84,1354154
8,27/08/2024 16:00:00,68.85,70.79,68.69,69.57,3164878
8,28/08/2024 16:00:00,69.58,69.67,67.71,68.38,2430583
8,29/08/2024 16:00:00,69,69.98,68.61,69.25,2186974
8,30/08/2024 16:00:00,70.04,70.19,68.82,70.14,3266723
8,03/09/2024 16:00:00,70.01,70.39,67.1,67.53,3160964
8,04/09/2024 16:00:00,67.33,68.47,67.31,67.97,1785337
8,05/09/2024 16:00:00,67.31,68.73,67.19,68.36,1810072
8,06/09/2024 16:00:00,68.19,68.32,66.23,66.58,2991265
8,09/09/2024 16:00:00,67.4,68.35,67.21,67.54,2683111
8,10/09/2024 16:00:00,67.69,68.06,66.58,67.36,2079182
8,11/09/2024 16:00:00,67.75,68.3,66.08,68.15,2391924
8,12/09/2024 16:00:00,68.49,69.49,68.22,68.68,2588437
8,13/09/2024 16:00:00,68,69.96,68,69.71,2276482
8,16/09/2024 16:00:00,70,70.3,68.86,69.65,1843745
8,17/09/2024 16:00:00,70.08,70.76,69.84,70.69,2298630
8,18/09/2024 16:00:00,70.76,70.76,68.8,69.05,2984411
8,19/09/2024 16:00:00,70.5,71.57,69.54,70.43,4228480
8,20/09/2024 16:00:00,70.56,70.67,69.63,70.1,3998062
8,23/09/2024 16:00:00,70.24,71.22,69.92,70.54,3224344
